COUNTYGEOID,C01,C02,C03,C04,C05,label
05067,-0.1264099447758921,-0.2126779149627212,-0.416933128204266,0.7862741594002038,0.09681896336099932,5
05069,-0.3837421023039789,0.7355765227383475,0.29853279994681103,0.08908391726217596,0.0279120444902054,2
05071,0.8329520149041838,0.2440788887853804,-0.13644019034136404,-0.07313236354684505,-0.02609793599449156,1
05073,-0.07880609982962432,-0.11132891368754336,-0.01152485358966722,-0.05604569181776084,-0.04390749017079111,3
05075,-0.07880609982962432,-0.11132891368754336,-0.01152485358966722,-0.05604569181776084,-0.04390749017079111,3
05077,-0.07880609982962432,-0.11132891368754336,-0.01152485358966722,-0.05604569181776084,-0.04390749017079111,3
05079,-0.07880609982962432,-0.11132891368754336,-0.011524853589667212,-0.05604569181776084,-0.043907490170791125,3
05081,-0.4587545685340226,0.7912926547519091,0.0253220755238365,-0.010193815802231243,-0.018153951567010627,2
05083,-0.13573972160720146,-0.2472717523142717,-0.0580543118288437,-0.25729794256634897,-0.5098645059275753,3
05085,0.030209746768838062,-0.17126061628515146,0.882646378829505,0.2761249003001178,0.09547261436473688,4
05087,-0.07880609982962436,-0.11132891368754336,-0.011524853589667212,-0.05604569181776083,-0.04390749017079114,3
05089,-0.10729337987105153,-0.17270210746526907,-0.02588332637978849,-0.12814864597151748,-0.1454366950826023,3
05091,-0.1157917153799455,-0.18718028236965256,-0.03240677066377319,-0.13278455316600887,-0.1566775303900596,3
05093,0.02864558567117445,-0.17432839629717492,0.8808624127681843,0.272996175087418,0.09337766177331634,4
05095,-0.07880609982962436,-0.1113289136875434,-0.01152485358966722,-0.05604569181776084,-0.043907490170791104,3
05097,-0.07880609982962436,-0.1113289136875434,-0.01152485358966722,-0.05604569181776084,-0.043907490170791104,3
05099,-0.07880609982962432,-0.11132891368754336,-0.011524853589667212,-0.05604569181776082,-0.043907490170791125,3
05101,-0.07880609982962432,-0.11132891368754336,-0.011524853589667212,-0.05604569181776082,-0.043907490170791125,3
05103,-0.39273308799422535,0.8143516833526361,0.01608538937308784,-0.010939642542510829,-0.01679436375800549,2
05105,-0.07880609982962432,-0.11132891368754336,-0.011524853589667216,-0.056045691817760805,-0.043907490170791125,3
05107,0.0216199917930087,-0.18237719719712536,0.8530668626967453,0.2627226999285537,0.08110856350670244,4
05109,-0.13511994846106753,-0.20985934977313708,-0.11805628178512755,-0.3791702977872439,0.8043751128818876,0
05111,0.025940246219482842,-0.18066251753350987,0.8772851321441127,0.2613564278465341,0.06291271694244822,4
05113,-0.13573972160720146,-0.2472717523142717,-0.058054311828843776,-0.2572979425663491,-0.5098645059275752,3
05115,-0.10861633346698786,-0.17586279619639206,-0.026966958529627345,-0.13283291087089702,-0.15629998938253056,3
05117,-0.1357397216072014,-0.2472717523142716,-0.05805431182884376,-0.25729794256634897,-0.5098645059275753,3
05119,0.3309046738302865,-0.030067442127125824,-0.3706819083441125,0.6891733036488824,0.09565245147566216,5
05121,0.8329406952203116,0.24405939465592266,-0.13644552533790727,-0.07314595249681081,-0.02610436901371961,1
05123,-0.07880609982962432,-0.11132891368754336,-0.011524853589667209,-0.05604569181776082,-0.043907490170791125,3
05125,0.5041950985525996,0.022813279839178663,0.6470193155474943,0.1941537335436703,0.04785648370286106,4
05127,-0.07880609982962432,-0.11132891368754336,-0.011524853589667214,-0.05604569181776083,-0.043907490170791125,3
05129,-0.07880609982962432,-0.11132891368754336,-0.011524853589667214,-0.05604569181776082,-0.043907490170791125,3
05131,0.6166356299162647,0.1419807338022541,-0.10418861688670043,-0.08086258806721441,-0.044687341484406125,1
05133,-0.08357877704859984,-0.12417858583935913,-0.04051623480031567,-0.0006123974094325485,-0.03367895526696248,3
05135,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776082,-0.043907490170791125,3
05137,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776082,-0.043907490170791125,3
05139,0.1495681191448078,-0.060342362013960926,-0.21000356378042973,0.31212299497236906,0.027412833270090756,5
05141,-0.07880609982962432,-0.11132891368754336,-0.011524853589667206,-0.05604569181776084,-0.04390749017079112,3
05143,0.8328549046121413,0.24389928666360874,-0.136513069408681,-0.0733502146877301,-0.02608168813976413,1
05145,0.8329550371313997,0.2440861014360061,-0.1364377221454373,-0.07312168689624626,-0.026073216353499053,1
05147,-0.10705131042981099,-0.17505898846318782,-0.04191138380782153,-0.07836442308052767,-0.09568600179053607,3
05149,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.043907490170791125,3
60010,-0.12647562591640954,-0.21278622889317733,-0.416962159803117,0.7861567044045051,0.0966483103642432,5
60020,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.043907490170791125,3
60030,-0.07880609982962436,-0.11132891368754337,-0.011524853589667207,-0.05604569181776082,-0.04390749017079111,3
60040,-0.07880609982962436,-0.11132891368754337,-0.011524853589667206,-0.05604569181776082,-0.04390749017079112,3
60050,-0.07880609982962436,-0.11132891368754337,-0.011524853589667206,-0.05604569181776082,-0.04390749017079112,3
04001,-0.152704082470944,-0.2544359805132569,-0.12371355156743626,-0.4166266428101418,0.5248035503097074,0
04003,-0.10735382977848228,-0.16583036424725242,-0.03526599355153137,-0.12494852928578792,-0.02219073251112909,3
04005,-0.12778899169214225,-0.20500486439210447,-0.2193346639460627,0.10246306505124356,0.41512952175296,3
04007,-0.13597867709311048,-0.21147618684377026,-0.11742978686932465,-0.3764578986934832,0.7926053712585368,0
04009,-0.13573972160720146,-0.24727175231427165,-0.05805431182884379,-0.25729794256634914,-0.5098645059275752,3
04011,-0.1585737515557945,-0.28311300308070564,-0.3920465549199481,0.4650820687866124,0.11557601922700275,5
04012,0.3341707182084943,-0.023950473077603663,-0.3924424184002661,0.5736570480984065,0.03862061061599014,5
04013,0.3918055886629531,-0.02510423521403369,0.7382380377440035,0.2658771635730225,0.0943345303065372,4
04015,0.36127554696310615,0.055683088298336014,-0.07191182504722557,-0.06634215495506704,-0.03123666150237488,1
04017,-0.4435640868743575,0.648826692175369,-0.026731359817568915,-0.15867622087660216,0.35439857570015465,2
04019,0.7590837246522715,0.16855465022040114,-0.11562053309919967,-0.12409953416303307,-0.17695313159789922,1
04021,-0.1373251520176361,-0.21430132381714564,-0.11981872140746315,-0.3843478191689769,0.8011343963348583,0
04023,0.816511320794682,0.2352104225397531,-0.1330203329492759,-0.0723997393601694,-0.027915773802737846,1
04025,-0.13695544966160636,-0.21398017086109475,-0.12576181239360326,-0.3683223290174836,0.7991643129878141,0
04027,-0.07863293590167521,-0.12954621148055095,-0.009127842124593298,-0.05634659038079823,-0.05719530318557619,3
06001,-0.3006008458693711,0.8090338901978312,0.15740486824275748,0.0436043924082497,0.00740631486937792,2
06003,-0.07880609982962436,-0.11132891368754337,-0.011524853589667214,-0.05604569181776082,-0.043907490170791125,3
06005,-0.1053467699593685,-0.15639171257925244,-0.024807538078247832,-0.1005495297925077,-0.08969564293061424,3
06007,-0.10660287877430424,-0.15924634790931164,-0.026159364173339337,-0.10166199670918236,-0.09232806595065668,3
06009,-0.07880609982962436,-0.1113289136875434,-0.011524853589667207,-0.05604569181776085,-0.0439074901707911,3
06011,-0.07880609982962436,-0.1113289136875434,-0.011524853589667214,-0.05604569181776083,-0.0439074901707911,3
06013,-0.0550049064521741,-0.1739020647855922,0.02475205279006918,0.37150857601391785,0.04706040990026075,3
06015,-0.10534676995936852,-0.1563917125792524,-0.02480753807824775,-0.10054952979250767,-0.08969564293061423,3
06017,-0.07880609982962436,-0.1113289136875434,-0.011524853589667209,-0.05604569181776083,-0.0439074901707911,3
06019,-0.009187504195442698,-0.23196145993415795,0.7674116963312504,0.1535346754150122,-0.1229230057985414,4
06021,-0.07888064218263101,-0.11387361805111855,-0.005363580232002567,-0.052831625145400456,-0.045933014461899666,3
06023,-0.4598768195562635,0.7883677488732505,0.01491376536820419,0.011333404144537193,-0.014703320468570057,2
06025,-0.14984283589783493,-0.24638383004119865,-0.13255493099581847,-0.411926920910694,0.6351046727481025,0
06027,-0.07880609982962436,-0.11132891368754337,-0.011524853589667206,-0.05604569181776082,-0.04390749017079112,3
06029,-0.07440953884944132,-0.15787232672067653,-0.05030407934922098,0.1781090658907,0.03969375180176926,3
06031,-0.0801366277846534,-0.13969091585131982,0.04111489855053107,-0.07026398275787689,0.04550085415403465,3
06033,-0.1360441974191966,-0.21166827888653594,-0.11886716912450612,-0.3812028656068781,0.8041707944408248,0
06035,-0.13573984313981946,-0.24727200358461054,-0.05805438629300645,-0.2572981703470855,-0.5098648805459794,3
06037,0.04227418794225803,-0.1780518893008053,0.8127040362974666,0.3797302874592709,0.11153082250999663,4
06039,-0.4595981428359669,0.7879005724583525,0.024634766113899708,-0.0124885704200949,-0.02048519421644537,2
06041,-0.07880609982962436,-0.1113289136875434,-0.011524853589667212,-0.05604569181776083,-0.04390749017079111,3
06043,-0.07880609982962436,-0.1113289136875434,-0.011524853589667212,-0.05604569181776083,-0.04390749017079111,3
06045,-0.13241405340168896,-0.20362039807104354,-0.08231116857698739,-0.2733207685449833,0.396081638025469,0
06047,-0.13573972160720146,-0.2472717523142716,-0.058054311828843824,-0.2572979425663492,-0.5098645059275754,3
06049,-0.07880609982962432,-0.11132891368754336,-0.011524853589667206,-0.05604569181776084,-0.04390749017079111,3
06051,-0.07880609982962432,-0.11132891368754336,-0.011524853589667206,-0.05604569181776083,-0.043907490170791104,3
06053,-0.10705131042981098,-0.17505898846318788,-0.04191138380782149,-0.07836442308052761,-0.09568600179053607,3
06055,0.03021182583117827,-0.17125631901565722,0.8826476562448187,0.2761287975249454,0.09547902220240168,4
06057,-0.07880609982962436,-0.11132891368754337,-0.011524853589667207,-0.05604569181776082,-0.04390749017079112,3
06059,0.03284674839256408,-0.17090177210969928,0.8818911701356056,0.2763157883706354,0.09505467004789177,4
06061,0.02167595112092173,-0.1800403783739658,0.8584865220774983,0.25812810768615313,0.08153523859086179,4
06063,-0.07880609982962432,-0.11132891368754336,-0.011524853589667207,-0.05604569181776083,-0.04390749017079111,3
06065,0.02983083032054137,-0.1723383489039953,0.8822005450898684,0.2754820346614933,0.09437271983720948,4
06067,-0.027627308843038108,-0.11817606938680845,0.16986282779891193,0.038245444435852996,-0.011942451976732443,3
06069,-0.07855650158623363,-0.11167430251998033,-0.011725765573461906,-0.055851620519483,-0.04420902878681804,3
06071,0.028405796688418944,-0.17512729076931333,0.8769176519427799,0.2705817572191739,0.1204339632887646,4
06073,0.08701324550565419,-0.11693299554126366,0.5413737964650779,0.18007187640666905,0.049598424037322494,4
06075,-0.12642720036305916,-0.21272203591606986,-0.4169525713702269,0.7862542886512297,0.09670246317719894,5
06077,-0.09819151725062346,0.16694658066307766,0.7008729598085505,0.2986237636533535,0.08870913299519474,4
06079,-0.1270392631756423,-0.21381576656014986,-0.4168287874700756,0.786113910467344,0.09597575767189602,5
06081,0.49370411772298106,0.034333206642678894,0.4194686041258522,0.20952639508503426,0.06213641424154895,4
06083,-0.06285126882792481,-0.12856837477366986,0.11362948462935595,0.009416087528717572,-0.016426361855805514,3
06085,-0.0571228204584173,-0.15106739083284956,0.007661439081806584,0.16515674077713804,0.004874168692610315,3
06087,0.030209712989294125,-0.17126043349913134,0.8826458997235405,0.2761235070928852,0.09547910752264813,4
06089,-0.458781222300641,0.7912762202700351,0.025320839136558283,-0.0102722560153494,-0.01800642357407556,2
06091,-0.07880609982962436,-0.11132891368754337,-0.011524853589667206,-0.05604569181776084,-0.04390749017079112,3
06093,-0.4587451825044803,0.7913406295956725,0.025334774306627804,-0.01022516826854819,-0.01787589054817795,2
06095,-0.10752901582904617,-0.21634313928726684,-0.30559199629797457,0.7539590268463614,0.09891009227528977,5
06097,-0.1114642344139634,-0.17004622259910182,-0.02820409556399195,-0.11748563352387775,-0.1170689500016447,3
06099,-0.07866804008532016,-0.11530311876408005,-0.007199527925105899,-0.047879309668198436,-0.0455887757516868,3
06101,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.04390749017079112,3
06103,-0.07880609982962436,-0.11132891368754336,-0.011524853589667207,-0.05604569181776084,-0.04390749017079112,3
06105,-0.07880609982962436,-0.11132891368754336,-0.011524853589667206,-0.05604569181776084,-0.04390749017079112,3
